51300004253,aff,160,71
51300034799,ddf,242,79
51300088425,cab,287,99
51300096459,fea,92,86
51300098807,dag,184,86
51300121451,fcd,232,240
51300130775,ceb,103,65
51300173401,dgb,37,55
51300305800,ddf,101,80
51300352187,ebc,153,6
51300373836,ccc,249,193
51300403428,cdc,207,140
51300413264,bgf,31,101
51300471558,dcg,140,161
51300497848,gdd,11,158
51300570061,ddf,277,73
51300582670,ggb,285,235
51300612218,gbg,148,180
51300654114,baa,2,95
51300669545,bee,292,28
51300671035,gae,210,261
51300724404,cge,164,140
51300746903,aff,253,68
51300750412,aaf,119,289
51300763553,ccg,240,38
51300784081,gcc,260,34
51300830964,fgb,126,50
51300856082,dfe,1,82
51300856786,gdb,142,241
51300910883,gaa,262,25
51300948139,bde,291,185
51300984322,gbd,123,222
51300993919,gae,227,208
51300998343,gea,263,45
51301069115,gdb,163,221
51301160833,deb,45,200
51301192494,cge,159,159
51301212304,dbc,261,236
51301250835,aeg,116,38
51301264433,gbf,37,262
51301273925,dcb,205,203
51301296229,eed,84,246
51301302726,fbb,254,83
51301303954,ffc,200,166
51301334266,dcc,110,124
51301372319,agb,59,120
51301383525,cfa,84,39
51301447905,aef,26,118
51301453003,fab,298,21
51301464428,fcg,207,238
51301505405,dfa,276,226
51301507731,eff,95,73
51301564950,bed,178,176
51301587327,ffc,174,177
51301624330,faf,4,10
51301664273,fda,87,106
51301669883,dfa,110,248
51301681654,fac,233,203
51301686685,egf,8,187
51301695133,agg,152,295
51301765881,ffg,166,243
51301780727,ffc,23,200
51301782051,gga,95,182
51301791647,dec,289,226
51301805369,ade,177,6
51301838542,afe,33,20
51301863769,abd,129,287
51301889808,gce,47,241
51301925355,gad,149,71
51301985368,dcd,55,169
51301999284,aad,106,205
51302015129,bge,17,76
51302045293,cae,6,286
51302062658,ffg,28,255
51302066242,dgc,21,185
51302099631,gab,108,14
51302106860,cgf,199,234
51302135133,age,164,50
51302176767,cce,208,221
51302207858,ecc,161,263
51302249506,aed,191,257
51302258532,cfd,225,147
51302258697,egc,138,36
51302271915,fce,181,282
51302285006,aab,77,133
51302302803,abc,108,24
51302311772,aaa,138,16
51302330700,adf,100,96
51302335325,cfb,232,164
51302450759,cef,64,91
51302488675,agd,221,225
51302499028,dga,92,6
51302519797,dce,245,239
51302584968,deb,101,162
51302632400,adc,298,29
51302634200,aaf,234,294
51302646758,ccf,232,146
51302655757,gbe,219,121
51302694973,ebb,271,229
51302698572,ffg,213,237
51302711891,bdc,183,66
51302798852,acd,219,74
51302839384,cec,99,205
51302843843,caa,133,69
51302880812,gcc,181,32
51302889390,gbc,290,88
51302896568,gba,268,274
51302900318,fbd,123,34
51302907085,ggb,155,272
51303069277,geg,187,37
51303091867,afe,9,17
51303108853,acb,199,256
51303140784,bfb,24,115
51303141171,bfa,237,67
51303148872,bde,264,216
51303166673,ceb,250,55
51303197079,dag,66,78
51303208906,cec,251,184
51303215976,aed,88,257
51303232063,dge,289,110
51303294942,cgf,176,196
51303312850,egg,168,58
51303314217,aaf,58,246
51303349287,cgd,111,57
51303392610,fdc,74,119
51303404521,fbg,130,22
51303453131,dgg,14,167
51303471715,cfa,79,43
51303509165,bdd,123,290
51303565137,fge,233,197
51303575103,ffa,181,152
51303588769,ead,143,53
51303600765,acf,75,184
51303608375,bga,117,62
51303633338,cga,142,212
51303649141,acb,165,266
51303658945,ebf,231,62
51303664520,ade,294,6
51303667001,ecf,192,168
51303748141,bba,32,202
51303748183,dbg,286,269
51303773815,fbc,183,294
51303775211,acc,180,142
51303805329,ede,266,64
51303809523,fae,142,6
51303812675,dbb,103,145
51303864698,bbf,237,66
51303865361,gae,173,235
51303904446,ffc,278,224
51303929741,def,56,59
51303929790,fdf,45,107
51303953541,fab,100,22
51303967300,bdb,124,298
51303981271,cda,146,104
51303985468,gfa,101,273
51304007742,feg,186,94
51304009656,dae,124,233
51304024522,cbc,128,267
51304036366,caf,104,152
51304078147,bag,12,81
51304084947,edc,176,78
51304121603,cab,31,98
51304124978,ceg,54,299
51304142269,bgd,17,287
51304187280,ddc,65,107
51304194701,bag,60,77
51304211580,cbe,293,27
51304215823,daa,5,213
51304218163,fbb,95,97
51304218638,cbd,130,223
51304250327,ffb,1,101
51304324103,efg,75,179
51304339714,ead,234,47
51304362562,cgd,180,54
51304381179,ecf,196,151
51304386545,bbg,283,256
51304405718,fgg,86,122
51304410379,ded,110,101
51304472728,ddd,115,192
51304486690,cdf,165,173
51304489307,edg,39,245
51304496856,ged,293,65
51304503686,agg,106,253
51304527630,ccg,65,35
51304543569,ead,106,50
51304579870,dce,265,282
51304596163,dbf,6,64
51304613359,eae,223,270
51304631064,aab,261,113
51304659022,fac,199,203
51304659705,dbc,189,245
51304677967,bce,191,208
51304766518,bee,80,26
51304848867,ecf,95,166
51304869667,fga,1,241
51304869720,gfe,286,219
51304876431,dee,294,260
51304894504,bgf,146,89
51304913487,dgf,21,98
51304962336,dff,247,249
51304976736,ege,35,12
51304987385,gbe,105,121
51304998699,fgc,113,137
51305003156,ggg,259,240
51305074632,dea,124,216
51305118396,fdd,105,62
51305122867,gaa,271,26
51305168162,cac,247,208
51305179255,aff,249,57
51305179793,def,292,55
51305182824,ebg,214,71
51305300997,fec,227,251
51305301695,cbb,264,165
51305345432,fag,100,125
51305349293,cfg,233,228
51305374343,gea,79,52
51305378972,bfg,217,158
51305379519,ddf,80,69
51305403397,ggf,148,272
51305455779,cag,26,201
51305470712,cgc,84,65
51305480529,bdd,223,345
51305491580,ebe,101,84
51305498282,cba,54,159
51305500075,cfe,201,241
51305518596,bad,229,111
51305557716,eeb,60,181
51305567199,bea,250,83
51305586139,bbc,144,83
51305605765,faa,170,120
51305619649,ege,115,10
51305621924,gge,69,211
51305625178,bcd,217,229
51305661344,cgg,259,140
51305732865,cfd,175,122
51305733942,ebc,21,6
51305744044,cbg,122,147
51305748504,gec,87,48
51305780148,abg,171,63
51305790189,agb,152,105
51305797747,ggd,31,127
51305822294,gag,30,191
51305823578,gca,61,162
51305910357,cca,219,198
51305912318,dae,212,214
51305916303,aff,265,47
51305918131,cdg,76,112
51305955387,baf,43,246
51305962840,cea,147,201
51306025688,gaf,52,105
51306040481,gde,114,213
51306050053,cee,96,61
51306062711,gfd,122,43
51306064585,afa,296,110
51306104971,gff,217,136
51306137932,eaf,127,235
51306159633,fcg,86,273
51306178482,dab,117,21
51306183658,dgg,245,156
51306195793,aca,259,281
51306199736,age,281,46
51306200925,ebf,117,55
51306201674,fba,188,237
51306206117,abb,160,59
51306214134,bef,84,175
51306218136,dgd,82,244
51306236768,aba,30,159
51306239339,dbf,40,56
51306251812,egf,44,207
51306270533,dfc,294,212
51306271836,cbg,66,117
51306274285,gbb,151,110
51306279045,dba,92,267
51306299934,aga,118,210
51306310146,abc,126,24
51306311937,ccc,114,171
51306313729,acf,102,187
51306335897,efc,25,134
51306337233,dad,72,263
51306342469,ged,191,53
51306343189,feb,133,141
51306344389,fad,66,120
51306350761,egf,63,213
51306369880,dca,91,211
51306371820,cdd,56,291
51306379681,dfe,242,82
51306402772,geb,178,27
51306403993,ffd,18,99
51306420542,ffa,190,155
51306423267,beb,262,144
51306435559,fcc,181,6
51306469488,ebc,7,5
51306469921,ecd,40,201
51306503787,bdc,172,77
51306508670,adc,272,33
